respondent_id,brand_choice,price_sensitivity,age_band,channel
R1474,Brand A,High,18-24,Search
R1475,Brand C,Medium,35-44,Search
R1476,Brand D,Low,45-54,Email
R1477,Brand B,Medium,25-34,Search
R1478,Brand A,Medium,18-24,Search
R1479,Brand C,Medium,25-34,Social
R1480,Brand A,Medium,18-24,Search
R1481,Brand A,High,45-54,Email
R1482,Brand A,Medium,35-44,Search
R1483,Brand D,High,18-24,Search
R1484,Brand B,High,25-34,Search
R1485,Brand C,Low,25-34,Search
R1486,Brand B,Low,18-24,Search
R1487,Brand B,Low,25-34,Search
R1488,Brand B,Low,35-44,Social
R1489,Brand B,High,35-44,Search
R1490,Brand D,Low,25-34,Search
R1491,Brand D,Low,18-24,Email
R1492,Brand B,Medium,25-34,Search
R1493,Brand B,Low,18-24,Search
R1494,Brand A,High,55+,Email
R1495,Brand C,Medium,35-44,Search
R1496,Brand B,High,45-54,Social
R1497,Brand C,High,45-54,Search
R1498,Brand A,Medium,55+,Social
R1499,Brand D,High,18-24,Search
R1500,Brand D,Medium,35-44,Email
