customer_id,stage,channel,frequency_segment,age_band
C1469,Consideration,Email,Low,45-54
C1470,Consideration,Social,Medium,35-44
C1471,Consideration,Search,High,18-24
C1472,Purchase,Social,Low,25-34
C1473,Consideration,Email,Medium,35-44
C1474,Awareness,Email,High,25-34
C1475,Consideration,Email,Medium,55+
C1476,Awareness,Social,Low,25-34
C1477,Consideration,Social,Low,55+
C1478,Consideration,Social,Medium,25-34
C1479,Consideration,Social,Medium,55+
C1480,Awareness,Email,Low,25-34
C1481,Consideration,Social,High,45-54
C1482,Awareness,Email,High,55+
C1483,Consideration,Social,Low,35-44
C1484,Consideration,Social,Low,25-34
C1485,Purchase,Search,Low,25-34
C1486,Awareness,Email,Medium,18-24
C1487,Consideration,Email,Medium,35-44
C1488,Awareness,Email,Medium,25-34
C1489,Purchase,Social,Low,18-24
C1490,Purchase,Email,Low,25-34
C1491,Awareness,Social,High,35-44
C1492,Awareness,Email,Medium,18-24
C1493,Purchase,Email,Low,25-34
C1494,Awareness,Social,Low,35-44
C1495,Awareness,Social,Low,45-54
C1496,Awareness,Email,Low,35-44
C1497,Purchase,Social,Low,35-44
C1498,Awareness,Email,Medium,45-54
C1499,Purchase,Social,Medium,25-34
C1500,Awareness,Email,Medium,18-24
